žolė,žolėG,žolėsG,žolei,žolē,žoleG,žolėjeG,žole,žolės,žolʲūG,žolėmsG,žolesG,žolėmisG,žolėseG,žolės
krosnis,krosnis,krosnës,krosnei,krosnī,krosnimi,krosnīje,krosnë,krosnīs,krosnʲū,krosnims,krosnis,krosnimis,krosnīse,krosnīs
širdis,širdisG,širdësG,širǯei,širdī,širdimiG,širdījeG,širdëG,širdīs,širǯʲūG,širdimsG,širdis,širdimisG,širdīseG,širdīs
žuvis,žuvisG,žuvësG,žuvei,žuvī,žuvimiG,žuvījeG,žuvëG,žuvīs,žuvūG,žuvimsG,žuvisG,žuvimisG,žuvīseG,žuvīs
žvėris,žvėrisG,žvėrësG,žvėrʲui,žvėrī,žvėrimiG,žvėrījeG,žvėrëG,žvėrīs,žvėriūG,žvėrimsG,žvėris,žvėrimisG,žvėrīseG,žvėrīs
dantis,dantisG,dantësG,dančʲui,dantī,dantimiG,dantījeG,dantëG,dantīs,dantūG,dantimsG,dantisG,dantimisG,dantīseG,dantīs
debesis,debesisG,debesësG,debesʲui,debesī,debesimiG,debesījeG,debesëG,debesīs,debesūG,debesimsG,debesis,debesimisG,debesīseG,debesīs
akmuo,akmůG,akmensG,akmenʲui,akmenī,akmenʲu,akmenījeG,akmenëG,akmenīs,akmenūG,akmenimsG,akmenis,akmenimisG,akmenīseG,akmenīs
vanduo,vandůG,vandensG,vandenʲui,vandenī,vandenʲu,vandenījeG,vandenëG,vandenīs,vandenūG,vandenimsG,vandenis,vandenimisG,vandenīseG,vandenīs
šuo,šůG,šunsG,šunʲui,šunī,šunimiG,šunījeG,šunëG,šunīs,šunūG,šunimsG,šunisG,šunimisG,šunīseG,šunīs
sesuo,sesůG,sesersG,seserei,seserī,seserimiG,seserījeG,seserëG,seserīs,seserūG,seserimsG,seseris,seserimisG,seserīseG,seserīs
ledas ‘ice’,ledas,ledo,ledui,ledā,leduG,ledeG,lede,ledaiG,ledūG,ledamsG,ledusG,ledaisG,ledůseG,ledaiG
LEDas ‘LED’,ledas,ledo,ledui,ledā,leduG,ledeG,lede,ledai,ledū,ledams,ledusG,ledais,ledůse,ledai
teta ‘aunt’,tetaG,tetosG,tetai,tetā,tetaG,tetojeG,teta,tetos,tetūG,tetomsG,tetasG,tetomisG,tetoseG,tetos
teta ‘theta’,tetaG,tetos,tetai,tetā,tetaG,tetoje,teta,tetos,tetū,tetoms,tetasG,tetomis,tetose,tetos
