širdis,širdisG,širdiesG,širdžiai,širdį,širdimiG,širdyjeG,širdieG,širdys,širdžiųG,širdimsG,širdis,širdimisG,širdyseG,širdys
žuvis,žuvisG,žuviesG,žuviai,žuvį,žuvimiG,žuvyjeG,žuvieG,žuvys,žuvųG,žuvimsG,žuvisG,žuvimisG,žuvyseG,žuvys
žvėris,žvėrisG,žvėriesG,žvėriui,žvėrį,žvėrimiG,žvėryjeG,žvėrieG,žvėrys,žvėriųG,žvėrimsG,žvėris,žvėrimisG,žvėryseG,žvėrys
dantis,dantisG,dantiesG,dančiui,dantį,dantimiG,dantyjeG,dantieG,dantys,dantųG,dantimsG,dantisG,dantimisG,dantyseG,dantys
debesis,debesisG,debesiesG,dēbesiui,dēbesį,debesimiG,debesyjeG,debesieG,dēbesys,debesųG,debesimsG,dēbesis,debesimisG,debesyseG,dēbesys
akmuo,akmuoG,akmensG,akmeniui,akmenį,akmeniu,akmenyjeG,akmenieG,akmenys,akmenųG,akmenimsG,akmenis,akmenimisG,akmenyseG,akmenys
vanduo,vanduoG,vandensG,vandeniui,vandenį,vandeniu,vandenyjeG,vandenieG,vandenys,vandenųG,vandenimsG,vandenis,vandenimisG,vandenyseG,vandenys
šuo,šuoG,šunsG,šuniui,šunį,šunimiG,šunyjeG,šunieG,šunys,šunųG,šunimsG,šunisG,šunimisG,šunyseG,šunys
sesuo,sesuoG,sesersG,sēseriai,sēserį,seserimiG,seseryjeG,seserieG,sēserys,seserųG,seserimsG,sēseris,seserimisG,seseryseG,sēserys
ledas ‘ice’,lēdas,lēdo,lēdui,lēdą,leduG,ledeG,lēde,ledaiG,ledųG,ledamsG,ledusG,ledaisG,leduoseG,ledaiG
LEDas ‘LED’,ledas,ledo,ledui,ledą,leduG,ledeG,lede,ledai,ledų,ledams,ledusG,ledais,leduose,ledai
teta ‘aunt’,tetaG,tetosG,tētai,tētą,tetaG,tetojeG,tēta,tētos,tetųG,tetomsG,tetasG,tetomisG,tetoseG,tētos
teta ‘theta’,tetaG,tetos,tetai,tetą,tetaG,tetoje,teta,tetos,tetų,tetoms,tetasG,tetomis,tetose,tetos
