žuvis,žuvis,žuvës,žuvei,žuvī,žuvimi,žuvīje,žuvë,žuvīs,žuvū,žuvims,žuvis,žuvimis,žuvīse,žuvīs
žvėris,žvėris,žvėrës,žvėrʲui,žvėrī,žvėrimi,žvėrīje,žvėrë,žvėrīs,žvėriū,žvėrims,žvėris,žvėrimis,žvėrīse,žvėrīs
dantis,dantis,dantës,dančʲui,dantī,dantimi,dantīje,dantë,dantīs,dantū,dantims,dantis,dantimis,dantīse,dantīs
debesis,debesis,debesës,debesʲui,debesī,debesimi,debesīje,debesë,debesīs,debesū,debesims,debesis,debesimis,debesīse,debesīs
akmuo,akmů,akmens,akmenʲui,akmenī,akmenʲu,akmenīje,akmenë,akmenīs,akmenū,akmenims,akmenis,akmenimis,akmenīse,akmenīs
vanduo,vandů,vandens,vandenʲui,vandenī,vandenʲu,vandenīje,vandenë,vandenīs,vandenū,vandenims,vandenis,vandenimis,vandenīse,vandenīs
šuo,šů,šuns,šunʲui,šunī,šunimi,šunīje,šunë,šunīs,šunū,šunims,šunis,šunimis,šunīse,šunīs
sesuo,sesů,sesers,seserei,seserī,seserimi,seserīje,seserë,seserīs,seserū,seserims,seseris,seserimis,seserīse,seserīs
ledas ‘ice’,ledas,ledo,ledui,ledā,ledu,lede,lede,ledai,ledū,ledams,ledus,ledais,ledůse,ledai
LEDas ‘LED’,ledas,ledo,ledui,ledā,ledu,lede,lede,ledai,ledū,ledams,ledus,ledais,ledůse,ledai
teta ‘aunt’,teta,tetos,tetai,tetā,teta,tetoje,teta,tetos,tetū,tetoms,tetas,tetomis,tetose,tetos
teta ‘theta’,teta,tetos,tetai,tetā,teta,tetoje,teta,tetos,tetū,tetoms,tetas,tetomis,tetose,tetos
